Company,Size,CEO,CEO email,Site,LI,Industry,Industry2,Address,City,State,Zip,Added,,,
Feelgoodz,30-40,Mark Saad,,feelgoodz.com,https://www.linkedin.com/company/2787356/,,,,,,,2018,,,
Field2Base,,,,,,,,,,,,2017,,,
FilterEasy,10-50,Kevin Barry,,www.filtereasy.com,https://www.linkedin.com/company/filtereasy,ecommerce,,,Raleigh,NC,27609,2016,,,
First,,,,,,,,,,,,2017,,,
Fokus Labs,,,,,,,,,,,,2017,,,
FoodLogiQ,10-50,Sean O'Leary,,www.foodlogiq.com,https://www.linkedin.com/company/foodlogiq,SaaS,supply chain,2655 Meridian Pkwy,Durham,NC,27713,2016,,,
FotoSwipe,10-50,Sylvain Dufour,,www.fotoswipe.com,na,consumer,mobile,3702 Rolston Dr.,Raleigh,NC,27609,2016,,,
Freedom,20-50,Fred Stutzman,,http://www.freedom.to,https://www.linkedin.com/company/frdm/,,,,,,,2019,,,
"Get Spiffy, Inc.",10-50,Karl Murphy,,www.getspiffy.com,https://www.linkedin.com/company/get-spiffy-inc,OnDemand,,4518 S. Miami Blvd,Durham,NC,27707,2016,,,
Global Data Consortium,,,,,,,,,,,,2018,,,
Global Value Commerce,100-200,Ed Byman,,www.globalvaluecommerce.com,https://www.linkedin.com/company/global-value-commerce,ecommerce,golf,7320 Access Blvd,Raleigh,NC,27617,2016,,,
Hip Ecommerce,10-20,Mark Rosenberg,,http://www.hipecommerce.com,https://www.linkedin.com/company/hip-ecommerce/about/,,,,,,,2019,,,
Icimo LLC,50-100,Bryce Gartner,,www.icimo.com,https://www.linkedin.com/company/icimo-llc,SaaS,Big Data,500 w williams st,apex,NC,27502,2016,,,
Imangi Studios,10-20,Keith Shepherd,,http://www.imangistudios.com,https://www.linkedin.com/company/imangi-studios/about/,,,,,,,2019,,,
"Improved Nature, LLC",10-20,Rody Hawkins,,http://www.improvednature.com,https://www.linkedin.com/company/improved-nature/,,,,,,,2019,,,
Infina Connect,10-50,Mark Hefner,,www.infinaconnect.com,https://www.linkedin.com/company/infina-connect,SaaS,HealthTec,7320 Six Forks R.d,Raleigh,NC,27615,2016,,,
InfiniaML,20-50,Robbie Allen,,http://www.infiniaml.com,https://www.linkedin.com/company/infiniaml/,,,,,,,2019,,,
